Shoe_no,Brand,Model,Type,Color,Size,Gender,Material,Price,Release_Date,Rating,In_Stock
1,New Balance,NMD,Training,Blue,10,Female,Leather,4700,01-01-2023,3.5,No
2,Paragon,Gazelle,Running,White,11,Female,Suede,7600,08-01-2023,4.7,Yes
3,Sparx,Stan Smith,Basketball,Green,10,Male,Leather,7100,15-01-2023,3.1,Yes
4,Nike,Zoom Fly,Hiking,Green,6,Female,Synthetic,9500,22-01-2023,4.9,Yes
5,Reebok,Max,Basketball,Green,6,Male,Synthetic,12200,29-01-2023,3.7,Yes
6,Reebok,Ultraboost,Running,Black,7,Female,Synthetic,12300,05-02-2023,3.7,No
7,Reebok,Ultraboost,Basketball,Grey,5,Male,Mesh,7400,12-02-2023,3,Yes
8,Paragon,Ignite,Hiking,Blue,8,Male,Mesh,8600,19-02-2023,3.4,Yes
9,Adidas,Samba,Hiking,Blue,6,Male,Synthetic,6200,26-02-2023,3.8,No
10,Reebok,Comfit,Basketball,Red,9,Male,Mesh,13500,05-03-2023,4.9,No
11,Sparx,Air Max 90,Casual,Black,8,Female,Mesh,4700,12-03-2023,3.2,Yes
12,Puma,Yeezy Boost,Hiking,Green,6,Female,Canvas,12400,19-03-2023,4.9,Yes
13,New Balance,Future Rider,Running,Red,6,Female,Mesh,13300,26-03-2023,4.7,No
14,Paragon,SS-421,Running,Grey,7,Female,Canvas,13300,02-04-2023,3.9,Yes
15,Bata,Ignite,Running,Red,5,Female,Canvas,7100,09-04-2023,3.7,No
16,Nike,Zoom Fly,Casual,White,11,Male,Mesh,8500,16-04-2023,3.5,Yes
17,Nike,Clyde,Running,Blue,12,Female,Mesh,11100,23-04-2023,4.2,No
18,New Balance,Zoom Fly,Basketball,Green,5,Male,Mesh,7300,30-04-2023,3.1,Yes
19,Puma,Classic Leather,Casual,Yellow,7,Female,Leather,8500,07-05-2023,3,No
20,Adidas,Future Rider,Hiking,Green,9,Male,Canvas,6400,14-05-2023,3.9,No
21,Bata,Yeezy Boost,Casual,Yellow,11,Female,Leather,9500,21-05-2023,3.1,No
22,Paragon,Stan Smith,Running,Red,5,Male,Synthetic,4500,28-05-2023,3.5,Yes
23,Paragon,SS-421,Running,Yellow,9,Female,Mesh,13600,04-06-2023,3.4,No
24,Bata,SM-162,Basketball,Red,12,Female,Synthetic,4900,11-06-2023,3.5,Yes
25,Nike,Stan Smith,Hiking,Green,8,Male,Leather,10200,18-06-2023,3.3,No
26,Adidas,Thunder Spectra,Hiking,Black,8,Male,Canvas,7700,25-06-2023,3,No
